Country Name,Year,Primary Enrollment,GDP
Australia,2001,1914395.0,19527.3235767954
Australia,2002,1933765.0,20117.7888912664
Australia,2003,1931817.0,23492.4051742272
Australia,2004,1934549.0,30513.9417409748
Australia,2005,1934941.0,34080.9998953245
Australia,2006,1938861.0,36117.487983674
Australia,2007,1973456.0,41001.1429790999
Australia,2008,1977837.0,49654.9105957389
Australia,2009,1991715.0,42783.3225651148
Australia,2010,2015017.0,52087.9722888891
Australia,2011,2042081.0,62574.1457032412
Australia,2012,2083119.0,68027.8417067378
Australia,2013,2127730.0,68156.6279162085
Australia,2014,2168531.0,62511.6905895284
Australia,2015,2140571.0,56707.0220772116
Australia,2016,2179689.0,49881.7637140466
Australia,2017,2216779.0,53934.2501750463
Australia,2018,2247875.0,57180.7794001614
Australia,2019,2263884.0,54875.2859563351
Australia,2020,2268891.0,51680.3165229438
